Component Name;Part Number;Description;Quantity;Material;Supplier;Unit Cost;Lead Time;Criticality;Source of Supply;Revision Level;Manufacturing Process;Quality Standards;Testing Requirements;Assembly Instructions;Subassembly Level;Weight;Packaging Information;Environmental Compliance;Safety Considerations
Control Software System;LID-001;Lid for chamber;1;Software;Vendor M;$25,000;12 weeks;High;External;A.1;Electronic Assembly;ISO 9001;Helium Leak Test;Provided by vendor;Level 1;200 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Plasma Diagnostics Module;VS-002;High-performance vacuum system;1;Stainless Steel;Vendor E;$20,000;15 weeks;Medium;External;B.1;Laser Cutting, Assembly;SEMI S890;Gas Flow Stability Test;Provided by vendor;Level 2;60 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Power Supply Unit;PDM-002;RF Generator and Electrostatic Chuck Assembly;1;Stainless Steel;Vendor D;$28,000;14 weeks;High;External;B.2;Integration of Components;SEMI S345;Electrical Safety Tests;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Gas Purification System;GPS-002;Gas distribution manifold;1;Titanium;Vendor J;$22,000;16 weeks;Medium;External;A.3;Thermoelectric Cooling;SEMI S234;Diagnostics Performance Test;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Plasma Source Assembly;VS-002;System for loading wafers into chamber;1;Stainless Steel;Vendor E;$8,000;20 weeks;Medium;External;B.2;Thermoelectric Cooling;SEMI S789;Temperature Stability Test;Provided by vendor;Level 2;60 kg;Custom crate;RoHS, REACH;Safety interlocks during maintenance
Etching Chamber;PSA-001;Robot arm and wafer chuck;1;Polypropylene;Vendor L;$18,000;16 weeks;High;External;A.1;Integration of Components;SEMI S678;Electrical Tests;Provided by vendor;Level 1;45 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Wafer Handling System;ISA-002;High-performance vacuum system;1;Various;Vendor E;$28,000;16 weeks;High;External;A.1;Robotic Assembly;SEMI S234;Electrical Tests;Provided by vendor;Level 2;90 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Gas Delivery System;CS-002;High-performance vacuum system;1;Stainless Steel;Vendor L;$12,000;15 weeks;Medium;External;A.2;Laser Cutting, Assembly;SEMI S678;Vacuum Integrity Test;Provided by vendor;Level 2;150 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Wafer Handling System;WLS-002;Specialized chamber for etching process;1;Stainless Steel;Vendor F;$20,000;14 weeks;High;External;B.2;Precision Machining;SEMI S567;Temperature Stability Test;Provided by vendor;Level 2;150 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Power Supply Unit;WHS-001;Gas purification and filtration;1;Software;Vendor B;$12,000;16 weeks;Medium;External;A.1;Software Development;SEMI S567;Software Testing;Provided by vendor;Level 1;-;Custom crate;RoHS, REACH;-
Vacuum System;PSU-002;Control system for plasma parameters;1;Copper, Silicon;Vendor A;$10,000;12 weeks;High;External;A.1;Robotic Assembly;SEMI S456;Electrical Safety Tests;Provided by vendor;Level 1;70 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Etching Chamber;LID-001;High-performance vacuum system;1;Copper, Silicon;Vendor C;$15,000;12 weeks;High;External;A.1;CNC Machining;SEMI S123;Vacuum Integrity Test;Provided by vendor;Level 1;200 kg;Custom packaging;RoHS, REACH;-
Control Software System;PSU-002;High-voltage power supply;1;Copper, Silicon;Vendor I;$25,000;18 weeks;High;External;A.1;Thermoelectric Cooling;SEMI S456;Electrical Safety Tests;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Power Supply Unit;CSS-002;High-voltage power supply;1;Copper, Silicon;Vendor G;$25,000;18 weeks;High;External;A.1;Electronic Assembly;SEMI S345;Electrical Safety Tests;Provided by vendor;Level 1;-;Custom packaging;RoHS, REACH;Safety interlocks during handling
Wafer Handling System;CSS-002;Software system for process control;1;Aluminum Alloy, Ceramic;Vendor A;$25,000;8 weeks;High;External;A.1;Electronic Assembly;ISO 9001;Temperature Stability Test;Provided by vendor;Level 1;120 kg;Digital delivery;RoHS, REACH;Safety interlocks during maintenance
Plasma Source Assembly;TCU-002;Precision temperature control;1;Stainless Steel;Vendor D;$15,000;15 weeks;High;External;B.1;Thermoelectric Cooling;SEMI S890;Gas Flow Stability Test;Provided by vendor;Level 2;150 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Vacuum System;CSS-002;Gas distribution manifold;1;Stainless Steel;Vendor B;$8,000;8 weeks;Medium;External;A.2;CNC Machining;SEMI S456;Pressure Test;Provided by vendor;Level 1;45 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Power Supply Unit;PSU-002;Robot arm and wafer chuck;1;Software;Vendor P;$25,000;8 weeks;High;External;A.1;Electronic Assembly;SEMI S456;Electrical Safety Tests;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Plasma Diagnostics Module;PSA-001;High-performance vacuum system;1;Various;Vendor P;$15,000;12 weeks;Medium;External;B.1;Robotic Assembly;SEMI S234;Temperature Stability Test;Provided by vendor;Level 2;70 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Plasma Diagnostics Module;LID-001;Ion source for plasma etching;1;Various;Vendor K;$15,000;18 weeks;Medium;External;A.1;Electronic Assembly;SEMI S345;Electrical Safety Tests;Provided by vendor;Level 1;120 kg;Digital delivery;RoHS, REACH;Safety interlocks during maintenance
Gas Purification System;WLS-002;Robot arm and wafer chuck;1;Titanium;Vendor L;$8,000;14 weeks;High;External;A.1;CNC Machining;SEMI S123;Helium Leak Test;Provided by vendor;Level 1;150 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Gas Purification System;PSU-002;High-performance vacuum system;1;Stainless Steel;Vendor J;$5,000;12 weeks;High;External;A.1;Filtration and Purification;ISO 9001;Pressure Test;Provided by vendor;Level 1;50 kg;Custom crate;RoHS, REACH;-
Wafer Handling System;GFMS-002;Lid for chamber;1;Software;Vendor Q;$10,000;16 weeks;High;External;A.1;Automated Loading;ISO 9001;Software Testing;Provided by vendor;Level 1;-;Custom packaging;RoHS, REACH;-
Control Software System;CSS-002;Software system for process control;1;Aluminum Alloy;Vendor Q;$8,000;10 weeks;High;External;A.2;Software Development;ISO 9001;Software Testing;Provided by vendor;Level 1;-;Digital delivery;RoHS, REACH;-
Control Software System;WHS-001;System for loading wafers into chamber;1;Copper, Silicon;Vendor Q;$15,000;12 weeks;High;External;A.2;Vacuum Technology;SEMI S345;Helium Leak Test;Provided by vendor;Level 1;50 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Gas Flow Management System;CHM-001;Lid for chamber;1;Stainless Steel;Vendor E;$8,000;14 weeks;High;External;B.1;Precision Machining;SEMI S567;Electrical Safety Tests;Provided by vendor;Level 2;80 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
Wafer Loading System;PCU-002;Precision temperature control;1;Electronic Components;Vendor E;$25,000;10 weeks;High;External;A.1;Integration of Components;SEMI S123;Electrical Tests;Provided by vendor;Level 2;60 kg;Custom packaging;RoHS, REACH;-
Chamber Assembly;PCU-002;High-voltage power supply;1;Electronic Components;Vendor Q;$15,000;10 weeks;High;External;A.1;Software Development;ISO 9001;Leak Test;Provided by vendor;Level 1;150 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
Control Software System;PSA-001;Robot arm and wafer chuck;1;Electronic Components;Vendor E;$10,000;12 weeks;High;External;A.1;Precision Machining;SEMI S345;Helium Leak Test;Provided by vendor;Level 2;90 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
Gas Flow Management System;ISA-002;System for controlling gas flow rates;1;Stainless Steel;Vendor N;$15,000;10 weeks;Medium;External;A.2;Filtration and Purification;SEMI S456;Visual Inspection;Provided by vendor;Level 2;90 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Cooling System;VS-002;RF Generator and Electrostatic Chuck Assembly;1;Electronic Components;Vendor H;$28,000;15 weeks;Medium;External;A.3;Laser Cutting, Assembly;SEMI S567;Mass Spectrometry Test;Provided by vendor;Level 2;80 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Power Supply Unit;TCU-002;Lid for chamber;1;Aluminum Alloy;Vendor E;$10,000;8 weeks;High;External;A.1;CNC Machining;SEMI S567;Leak Test;Provided by vendor;Level 1;50 kg;Custom packaging;RoHS, REACH;-
Cooling System;GDS-001;Robot arm and wafer chuck;1;Electronic Components;Vendor L;$8,000;18 weeks;Medium;External;A.2;CNC Machining;SEMI S567;Gas Purity Analysis;Provided by vendor;Level 1;150 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Wafer Loading System;GFMS-002;High-voltage power supply;1;Stainless Steel;Vendor H;$15,000;10 weeks;High;External;A.1;CNC Machining;SEMI S345;Gas Purity Analysis;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Lid Assembly;CHM-001;System for controlling gas flow rates;1;Various;Vendor F;$30,000;14 weeks;Medium;External;A.3;CNC Machining;SEMI S123;Robotic Tests;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;-
Wafer Loading System;GPS-002;Control system for plasma parameters;1;Various;Vendor L;$15,000;8 weeks;Medium;External;B.2;Vacuum Technology;SEMI S890;Diagnostics Performance Test;Provided by vendor;Level 2;100 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Control Software System;PCU-002;Control system for plasma parameters;1;Polypropylene;Vendor H;$15,000;16 weeks;Medium;External;A.1;Electronic Assembly;SEMI S456;Functional Tests;Provided by vendor;Level 2;45 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Chamber Assembly;ISA-002;System for loading wafers into chamber;1;Electronic Components;Vendor J;$18,000;14 weeks;Medium;External;A.3;CNC Machining, Welding;SEMI S345;Vacuum Integrity Test;Provided by vendor;Level 2;-;Custom crate;RoHS, REACH;Safety interlocks during maintenance
Plasma Source Assembly;PDM-002;RF Generator and Electrostatic Chuck Assembly;1;Various;Vendor O;$20,000;14 weeks;High;External;A.3;Thermoelectric Cooling;SEMI S234;Temperature Stability Test;Provided by vendor;Level 2;100 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Vacuum System;LID-001;System for loading wafers into chamber;1;Various;Vendor J;$18,000;14 weeks;Medium;External;A.1;Robotic Assembly;SEMI S789;Electrical Safety Tests;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Power Supply Unit;PSU-002;High-voltage power supply;1;Various;Vendor H;$25,000;18 weeks;High;External;A.3;Electronic Assembly;SEMI S345;Electrical Safety Tests;Provided by vendor;Level 1;40 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Plasma Diagnostics Module;PCU-002;High-performance vacuum system;1;Quartz;Vendor L;$12,000;15 weeks;High;External;A.2;Thermoelectric Cooling;SEMI S234;Vacuum Integrity Test;Provided by vendor;Level 2;90 kg;Custom crate;RoHS, REACH;-
Wafer Loading System;LID-001;System for loading wafers into chamber;1;Quartz;Vendor E;$25,000;10 weeks;High;External;A.1;Electronic Assembly;SEMI S567;Electrical Safety Tests;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Vacuum System;WHS-001;Precision temperature control;1;Stainless Steel;Vendor L;$16,000;18 weeks;Medium;External;A.1;CNC Machining, Welding;SEMI S123;Vacuum Integrity Test;Provided by vendor;Level 2;60 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Power Supply Unit;PSU-002;Precision temperature control;1;Copper, Silicon;Vendor H;$25,000;18 weeks;High;External;A.1;Electronic Assembly;SEMI S345;Electrical Tests;Provided by vendor;Level 1;50 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Power Supply Unit;CSS-002;Diagnostic tools for monitoring plasma;1;Aluminum Alloy, Ceramic;Vendor P;$8,000;18 weeks;High;External;A.1;Electronic Assembly;SEMI S789;Software Testing;Provided by vendor;Level 1;30 kg;Custom crate;RoHS, REACH;-
Wafer Loading System;TCU-002;Diagnostic tools for monitoring plasma;1;Copper, Silicon;Vendor P;$10,000;18 weeks;High;External;A.1;CNC Machining, Welding;SEMI S234;Electrical Safety Tests;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Wafer Loading System;CS-002;Closed-loop coolant system;1;Electronic Components;Vendor L;$28,000;14 weeks;High;External;A.3;Filtration and Purification;SEMI S567;Temperature Stability Test;Provided by vendor;Level 2;60 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Vacuum System;VS-002;Gas distribution manifold;1;Stainless Steel;Vendor G;$30,000;20 weeks;Medium;External;A.1;Vacuum Technology;SEMI S567;Vacuum Integrity Test;Provided by vendor;Level 2;150 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Ion Source Assembly;LID-001;Software system for process control;1;Polypropylene;Vendor H;$5,000;12 weeks;High;External;A.1;CNC Machining;SEMI S345;Robotic Tests;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Plasma Source Assembly;PDM-002;High-performance vacuum system;1;Various;Vendor J;$30,000;14 weeks;Medium;External;A.3;Quartz Fabrication;SEMI S234;Electrical Tests;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Control Software System;WLS-002;Software system for process control;1;Stainless Steel;Vendor I;$15,000;10 weeks;High;External;B.2;Software Development;SEMI S123;Helium Leak Test;Provided by vendor;Level 1;-;Custom crate;RoHS, REACH;-
Power Supply Unit;PSU-002;System for loading wafers into chamber;1;Copper, Silicon;Vendor M;$15,000;18 weeks;High;External;A.1;CNC Machining, Welding;SEMI S345;Electrical Safety Tests;Provided by vendor;Level 1;50 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Gas Purification System;EC-002;RF Generator and Electrostatic Chuck Assembly;1;Copper, Silicon;Vendor P;$25,000;12 weeks;High;External;A.3;Integration of Components;SEMI S234;Leak Test;Provided by vendor;Level 2;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Chamber Assembly;PCU-002;Software system for process control;1;Various;Vendor H;$10,000;18 weeks;High;External;A.1;Electronic Assembly;SEMI S123;Electrical Tests;Provided by vendor;Level 2;120 kg;Digital delivery;RoHS, REACH;Safety interlocks during maintenance
Power Supply Unit;PSU-002;High-voltage power supply;1;Aluminum Alloy;Vendor L;$15,000;18 weeks;High;External;A.1;Filtration and Purification;SEMI S456;Pressure Test;Provided by vendor;Level 2;30 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Cooling System;VS-002;Gas purification and filtration;1;Stainless Steel;Vendor I;$30,000;20 weeks;Medium;External;A.2;Automated Loading;ISO 9001;Leak Test;Provided by vendor;Level 2;50 kg;Custom crate;RoHS, REACH;-
Lid Assembly;CHM-001;High-voltage power supply;1;Inconel;Vendor E;$10,000;12 weeks;High;External;B.1;Electronic Assembly;SEMI S345;Electrical Tests;Provided by vendor;Level 1;40 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Power Supply Unit;EC-002;Diagnostic tools for monitoring plasma;1;Copper, Silicon;Vendor D;$18,000;14 weeks;High;External;A.3;Thermoelectric Cooling;SEMI S234;Diagnostics Performance Test;Provided by vendor;Level 2;80 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Lid Assembly;CSS-002;Software system for process control;1;Software;Vendor O;$8,000;10 weeks;High;External;A.2;Filtration and Purification;SEMI S567;Temperature Stability Test;Provided by vendor;Level 2;50 kg;Digital delivery;RoHS, REACH;-
Control Software System;VS-002;Ion source for plasma etching;1;Stainless Steel;Vendor I;$8,000;16 weeks;High;External;A.2;CNC Machining;SEMI S789;Vacuum Integrity Test;Provided by vendor;Level 1;40 kg;Custom packaging;RoHS, REACH;Safety interlocks during lid opening
Control Software System;CSS-002;Precision temperature control;1;Stainless Steel;Vendor C;$10,000;10 weeks;High;External;A.2;Vacuum Technology;SEMI S123;Leak Test;Provided by vendor;Level 2;60 kg;Digital delivery;RoHS, REACH;-
Wafer Handling System;CS-002;High-voltage power supply;1;Software;Vendor B;$15,000;8 weeks;High;External;B.1;Robotic Assembly;SEMI S123;Vacuum Integrity Test;Provided by vendor;Level 1;150 kg;Custom crate;RoHS, REACH;Safety interlocks during maintenance
Wafer Handling System;GDS-001;Gas distribution manifold;1;Stainless Steel;Vendor L;$15,000;14 weeks;Medium;External;A.2;Robotic Assembly;SEMI S234;Visual Inspection;Provided by vendor;Level 2;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Control Software System;CSS-002;Closed-loop coolant system;1;Stainless Steel;Vendor C;$8,000;10 weeks;Medium;External;A.2;Automated Loading;SEMI S678;Leak Test;Provided by vendor;Level 1;30 kg;Custom crate;RoHS, REACH;-
Ion Source Assembly;VS-002;High-performance vacuum system;1;Stainless Steel;Vendor I;$30,000;15 weeks;Medium;External;B.1;Vacuum Technology;SEMI S567;Temperature Stability Test;Provided by vendor;Level 2;80 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Lid Assembly;CS-002;High-performance vacuum system;1;Copper, Silicon;Vendor M;$22,000;10 weeks;High;External;B.2;Electronic Assembly;SEMI S678;Helium Leak Test;Provided by vendor;Level 2;90 kg;Custom packaging;RoHS, REACH;-
Gas Flow Management System;TCU-002;Ion source for plasma etching;1;Stainless Steel;Vendor A;$12,000;14 weeks;High;External;A.2;Vacuum Technology;SEMI S567;Vacuum Integrity Test;Provided by vendor;Level 2;30 kg;Custom crate;RoHS, REACH;-
Gas Delivery System;CSS-002;Software system for process control;1;Software;Vendor B;$15,000;12 weeks;Medium;External;A.1;Software Development;SEMI S678;Mass Spectrometry Test;Provided by vendor;Level 1;80 kg;Custom crate;RoHS, REACH;-
Cooling System;WHS-001;Closed-loop coolant system;1;Stainless Steel;Vendor C;$18,000;10 weeks;Medium;External;A.2;Software Development;SEMI S678;Pressure Test;Provided by vendor;Level 1;40 kg;Custom crate;RoHS, REACH;-
Chamber Assembly;GPS-002;Main chamber body;1;Aluminum Alloy;Vendor J;$16,000;12 weeks;High;External;A.1;CNC Machining, Welding;SEMI S456;Electrical Tests;Provided by vendor;Level 2;40 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Ion Source Assembly;GFMS-002;Precision temperature control;1;Stainless Steel;Vendor J;$28,000;20 weeks;Medium;External;A.1;Flow Rate Calibration;SEMI S567;Vacuum Integrity Test;Provided by vendor;Level 2;50 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Plasma Control Unit;EC-002;RF Generator and Electrostatic Chuck Assembly;1;Stainless Steel;Vendor K;$15,000;8 weeks;Medium;External;A.1;Laser Cutting, Assembly;SEMI S890;Visual Inspection;Provided by vendor;Level 1;90 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Wafer Handling System;WLS-002;System for loading wafers into chamber;1;Electronic Components;Vendor A;$10,000;12 weeks;Medium;External;A.1;CNC Machining;SEMI S456;Gas Purity Analysis;Provided by vendor;Level 1;70 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
Vacuum System;ISA-002;Control system for plasma parameters;1;Stainless Steel;Vendor J;$20,000;14 weeks;Medium;External;A.2;CNC Machining;SEMI S234;Mass Spectrometry Test;Provided by vendor;Level 2;80 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Vacuum System;VS-002;High-performance vacuum system;1;Inconel;Vendor L;$30,000;20 weeks;Medium;External;B.2;Robotic Assembly;SEMI S789;Functional Tests;Provided by vendor;Level 2;150 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Vacuum System;PSU-002;Precision temperature control;1;Titanium;Vendor J;$20,000;14 weeks;Medium;External;A.3;Integration of Components;SEMI S234;Electrical Safety Tests;Provided by vendor;Level 2;50 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Wafer Handling System;CS-002;Software system for process control;1;Aluminum Alloy;Vendor I;$18,000;12 weeks;Medium;External;A.1;CNC Machining, Welding;SEMI S789;Diagnostics Performance Test;Provided by vendor;Level 2;60 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Power Supply Unit;TCU-002;Robot arm and wafer chuck;1;Aluminum Alloy, Ceramic;Vendor M;$15,000;12 weeks;Medium;External;A.3;Filtration and Purification;SEMI S345;Robotic Tests;Provided by vendor;Level 1;70 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Vacuum System;ISA-002;Specialized chamber for etching process;1;Aluminum Alloy;Vendor D;$10,000;14 weeks;High;External;B.1;CNC Machining;SEMI S567;Vacuum Integrity Test;Provided by vendor;Level 2;100 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
Etching Chamber;GFMS-002;High-performance vacuum system;1;Various;Vendor J;$15,000;10 weeks;High;External;A.2;Thermoelectric Cooling;SEMI S789;Temperature Stability Test;Provided by vendor;Level 2;50 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Gas Purification System;CSS-002;Gas purification and filtration;1;Stainless Steel;Vendor Q;$20,000;12 weeks;High;External;A.1;CNC Machining;SEMI S678;Gas Flow Stability Test;Provided by vendor;Level 2;-;Custom crate;RoHS, REACH;Safety interlocks during handling
Plasma Source Assembly;GPS-002;Control system for plasma parameters;1;Aluminum Alloy;Vendor A;$25,000;8 weeks;High;External;A.1;Filtration and Purification;SEMI S567;Functional Tests;Provided by vendor;Level 1;30 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Power Supply Unit;GDS-001;RF Generator and Electrostatic Chuck Assembly;1;Aluminum Alloy;Vendor J;$20,000;18 weeks;High;External;A.1;Integration of Components;SEMI S789;Electrical Safety Tests;Provided by vendor;Level 1;40 kg;Custom packaging;RoHS, REACH;-
Gas Delivery System;ISA-002;High-voltage power supply;1;Software;Vendor A;$15,000;8 weeks;High;External;A.1;Electronic Assembly;SEMI S345;Electrical Safety Tests;Provided by vendor;Level 2;120 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Control Software System;WHS-001;High-voltage power supply;1;Titanium;Vendor A;$25,000;8 weeks;Medium;External;A.1;Filtration and Purification;SEMI S345;Software Testing;Provided by vendor;Level 1;40 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
Plasma Control Unit;PSU-002;High-voltage power supply;1;Copper, Silicon;Vendor D;$25,000;10 weeks;High;External;A.1;Electronic Assembly;SEMI S345;Gas Purity Analysis;Provided by vendor;Level 1;120 kg;Digital delivery;RoHS, REACH;Safety interlocks during handling
Wafer Handling System;TCU-002;System for controlling gas flow rates;1;Software;Vendor D;$8,000;12 weeks;High;External;B.2;CNC Machining;SEMI S678;Pressure Test;Provided by vendor;Level 1;45 kg;Custom packaging;RoHS, REACH;-
Power Supply Unit;PDM-002;High-voltage power supply;1;Copper, Silicon;Vendor B;$18,000;8 weeks;High;External;A.3;Electronic Assembly;SEMI S789;Software Testing;Provided by vendor;Level 1;200 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Lid Assembly;CHM-001;High-performance vacuum system;1;Inconel;Vendor L;$18,000;20 weeks;Medium;External;A.3;CNC Machining;SEMI S123;Vacuum Integrity Test;Provided by vendor;Level 2;60 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Power Supply Unit;GPS-002;High-performance vacuum system;1;Aluminum Alloy;Vendor I;$5,000;18 weeks;High;External;B.2;CNC Machining;SEMI S678;Gas Flow Stability Test;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Chamber Assembly;GPS-002;High-performance vacuum system;1;Stainless Steel;Vendor L;$8,000;20 weeks;High;External;A.1;CNC Machining, Welding;SEMI S567;Software Testing;Provided by vendor;Level 2;120 kg;Custom crate;RoHS, REACH;Safety interlocks during maintenance
Control Software System;CSS-002;High-voltage power supply;1;Copper, Silicon;Vendor Q;$15,000;12 weeks;High;External;A.1;CNC Machining, Welding;SEMI S678;Diagnostics Performance Test;Provided by vendor;Level 1;-;Custom packaging;RoHS, REACH;-
Gas Flow Management System;ISA-002;Software system for process control;1;Quartz;Vendor G;$10,000;14 weeks;High;External;A.1;Integration of Diagnostics;SEMI S123;Leak Test;Provided by vendor;Level 1;45 kg;Custom crate;RoHS, REACH;-
Power Supply Unit;WLS-002;High-voltage power supply;1;Copper, Silicon;Vendor H;$10,000;18 weeks;High;External;A.1;CNC Machining, Welding;SEMI S345;Robotic Tests;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Temperature Control Unit;VS-002;System for controlling gas flow rates;1;Polypropylene;Vendor I;$18,000;12 weeks;Medium;External;A.2;Electronic Assembly;SEMI S567;Electrical Tests;Provided by vendor;Level 2;50 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Plasma Source Assembly;PSA-001;High-voltage power supply;1;Quartz;Vendor P;$10,000;8 weeks;High;External;B.1;Vacuum Technology;SEMI S789;Electrical Safety Tests;Provided by vendor;Level 2;60 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Temperature Control Unit;WHS-001;Specialized chamber for etching process;1;Titanium;Vendor E;$5,000;20 weeks;Medium;External;A.1;Laser Cutting, Assembly;SEMI S123;Temperature Stability Test;Provided by vendor;Level 2;30 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Plasma Control Unit;CSS-002;Software system for process control;1;Software;Vendor C;$22,000;10 weeks;High;External;A.1;CNC Machining;ISO 9001;Gas Purity Analysis;Provided by vendor;Level 1;-;Custom packaging;RoHS, REACH;-
Power Supply Unit;CHM-001;RF Generator and Electrostatic Chuck Assembly;1;Aluminum Alloy, Ceramic;Vendor J;$28,000;12 weeks;High;External;A.1;Robotic Assembly;SEMI S345;Gas Purity Analysis;Provided by vendor;Level 1;50 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Control Software System;GDS-001;High-performance vacuum system;1;Stainless Steel;Vendor G;$15,000;10 weeks;High;External;A.1;Flow Rate Calibration;SEMI S567;Helium Leak Test;Provided by vendor;Level 2;150 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
Control Software System;TCU-002;Gas purification and filtration;1;Stainless Steel;Vendor L;$8,000;12 weeks;High;External;A.1;Laser Cutting, Assembly;SEMI S789;Software Testing;Provided by vendor;Level 2;90 kg;Digital delivery;RoHS, REACH;-
Control Software System;PSU-002;Main chamber body;1;Aluminum Alloy;Vendor H;$10,000;12 weeks;High;External;A.1;Software Development;SEMI S123;Gas Purity Analysis;Provided by vendor;Level 1;30 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Wafer Handling System;VS-002;Specialized chamber for etching process;1;Quartz;Vendor B;$12,000;18 weeks;High;External;A.1;Electronic Assembly;SEMI S456;Electrical Safety Tests;Provided by vendor;Level 1;100 kg;Custom packaging;RoHS, REACH;-
Vacuum System;GDS-001;System for loading wafers into chamber;1;Stainless Steel;Vendor N;$12,000;16 weeks;Medium;External;B.2;Automated Loading;SEMI S789;Vacuum Integrity Test;Provided by vendor;Level 2;50 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Cooling System;VS-002;Closed-loop coolant system;1;Software;Vendor Q;$12,000;10 weeks;High;External;A.2;Robotic Assembly;SEMI S678;Pressure Test;Provided by vendor;Level 1;-;Digital delivery;RoHS, REACH;-
Plasma Diagnostics Module;CHM-001;High-voltage power supply;1;Various;Vendor B;$25,000;8 weeks;High;External;B.2;Electronic Assembly;SEMI S345;Electrical Safety Tests;Provided by vendor;Level 1;80 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Temperature Control Unit;PSU-002;Precision temperature control;1;Inconel;Vendor P;$20,000;14 weeks;High;External;A.3;Integration of Components;SEMI S345;Diagnostics Performance Test;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
